Group;Variable;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Variable costs (€/ha);fmais;246.4;265.72;267.68;324.24;245.84;293.72;351.96;358.4;347.48;332.64;280;280;280
Variable costs (€/ha);gmais;246.4;265.72;267.68;324.24;245.84;293.72;351.96;358.4;347.48;332.64;280;280;280
Variable costs (€/ha);hemp;114.4;123.37;124.28;150.54;114.14;136.37;163.41;166.4;161.33;154.44;130;130;130
Variable costs (€/ha);lin;193.6;208.78;210.32;254.76;193.16;230.78;276.54;281.6;273.02;261.36;220;220;220
Variable costs (€/ha);lup;187.44;202.137;203.628;246.654;187.014;223.437;267.741;272.64;264.333;253.044;213;213;173
Variable costs (€/ha);luz;44;47.45;47.8;57.9;43.9;52.45;62.85;64;62.05;59.4;50;50;50
Variable costs (€/ha);luzS;44;47.45;47.8;57.9;43.9;52.45;62.85;64;62.05;59.4;50;50;50
Variable costs (€/ha);metTritG;44;47.45;47.8;57.9;43.9;52.45;62.85;64;62.05;59.4;50;50;50
Variable costs (€/ha);metTritGLeg;44;47.45;47.8;57.9;43.9;52.45;62.85;64;62.05;59.4;50;50;50
Variable costs (€/ha);orgeI;264;284.7;286.8;347.4;263.4;314.7;377.1;384;372.3;356.4;300;300;300
Variable costs (€/ha);orgeILeg;264;284.7;286.8;347.4;263.4;314.7;377.1;384;372.3;356.4;300;300;300
Variable costs (€/ha);orgeP;264;284.7;286.8;347.4;263.4;314.7;377.1;384;372.3;356.4;300;300;300
Variable costs (€/ha);poisP;88;94.9;95.6;115.8;87.8;104.9;125.7;128;124.1;118.8;100;100;100
Variable costs (€/ha);prairiep;44;47.45;47.8;57.9;43.9;52.45;62.85;64;62.05;59.4;50;50;50
Variable costs (€/ha);prairiet;44;47.45;47.8;57.9;43.9;52.45;62.85;64;62.05;59.4;50;50;50
Variable costs (€/ha);rayG;44;47.45;47.8;57.9;43.9;52.45;62.85;64;62.05;59.4;50;50;50
Variable costs (€/ha);sarr;70.4;75.92;76.48;92.64;70.24;83.92;100.56;102.4;99.28;95.04;80;80;80
Variable costs (€/ha);tour;132;142.35;143.4;173.7;131.7;157.35;188.55;192;186.15;178.2;150;150;150
Variable costs (€/ha);tritI;264;284.7;286.8;347.4;263.4;314.7;377.1;384;372.3;356.4;300;300;300
Variable costs (€/ha);tritILeg;264;284.7;286.8;347.4;263.4;314.7;377.1;384;372.3;356.4;300;300;300
Water price (€/L);Irrigation;0.10257;0.10543;0.10894;0.11102;0.11492;0.11687;0.11973;0.12272;0.12649;0.12831;0.13;0.13091;0.13195
